CARRIER_OBJ_ID,DRIVER_OBJ_ID,BLACKLISTED_STATES,CDL_LICENSE_FLAG,CERTIFICATION_DOUBLE_TRIPLES_TRAILER,CERTIFICATION_HAZMAT,CERTIFICATION_TANKER_TRUCKING,CERTIFICATION_TWIC_CARD,CHARGE_FUEL_FLAG,CREATED_AT,DELETED,DRIVER_ID,EMPTY_MILES_PAYMENT,EXTRA_DROPS,GROSS,LOADED_MILES_PAYMENT,PAYMENT_TYPE,ROUTES_NOT_PREF_ID,ROUTES_PREF_ID,TEAM_DRIVER,UPDATED_AT
"""62f02c751c69cd3403574f95""","""62f06afa70613f27cf3a2e35""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-08T01:46:34.466Z,FALSE,,,null,null,null,,[],[],FALSE,2022-08-17T16:56:35.914Z
"""6154e91c2e47885f36970f4b""","""62fe3e33bf56da3d895e5267""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-18T13:27:15.45Z,FALSE,53,,null,null,null,,[],[],FALSE,2022-08-18T13:27:15.45Z
"""615f13333485f01b944742ef""","""62fe95897a41673ae5583318""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-18T19:39:53.041Z,FALSE,333346,,null,null,null,,[],[],FALSE,2022-08-18T19:39:53.041Z
"""615f13333485f01b944742ef""","""62f3b32e60f214551a236a18""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-10T13:31:26.996Z,TRUE,333345,,null,null,null,,[],[],FALSE,2022-08-18T19:42:36.455Z
"""615f13333485f01b944742ef""","""6164f10b219f437c4fb109eb""",,FALSE,,,,,,2022-03-11T22:27:45.274Z,TRUE,324597,,0,0,0,"{""label"":""Pay by percentage %"",""value"":""Pay by percentage %""}",[],[],,2022-08-18T19:42:51.422Z
"""62840f2d72e85751989f87b7""","""62fe9d76a17ae43acf7226fe""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-18T20:13:42.697Z,FALSE,2,,null,null,null,,[],[],FALSE,2022-08-19T00:56:52.836Z
"""62eda61577fe8427b96d62ba""","""62edb08b40aa1f3415e9648c""",,FALSE,,,,,,2022-08-06T00:06:35.633Z,FALSE,,,,,,,[],[],,2022-08-18T14:34:30.138Z
"""62fd1494f9834634c6dac6a1""","""62fd16b1c8061634a87c69e6""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-17T16:26:25.733Z,FALSE,1,,null,null,null,,[],[],FALSE,2022-08-18T16:36:15.832Z
"""62fe35b8aa9e3e3795b5e326""","""62fe36acc4543a3be10953f4""",,FALSE,,,,,,2022-08-18T12:55:08.676Z,FALSE,,,,,,,[],[],,2022-08-18T12:55:08.676Z
"""62fe58924e08083d9b366a8b""","""62fe5af10c04f5466604dc55""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-18T15:29:53.409Z,FALSE,2,,null,null,null,,[],[],FALSE,2022-08-18T15:30:09.771Z
"""62fe58924e08083d9b366a8b""","""62fe5adb9a8f1f3d555baffa""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-18T15:29:31.832Z,FALSE,1,,null,null,null,,[],[],FALSE,2022-08-18T15:30:16.541Z
"""5c4f76547536a519e848cae1""","""62ffca17b1a8ae51d05edf23""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-19T17:36:23.734Z,FALSE,881021,,25,null,0.66,PAY_BY_MILES,[],[],FALSE,2022-08-19T17:36:23.734Z
"""6176df7263beda67b124a60c""","""62ffb0cc23da454fbf51e9d2""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-19T15:48:28.589Z,FALSE,45,,null,null,null,,[],[],FALSE,2022-08-19T15:48:28.589Z
"""61f94ed70eccbe2460188510""","""62fff254fdba7167e9b4b77e""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-19T20:28:04.725Z,FALSE,18,,null,null,null,,[],[],FALSE,2022-08-19T20:28:04.725Z
"""627bd6ac1a441833a54e50bc""","""627bdc500c04b133750f0d84""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-05-11T15:54:56.108Z,TRUE,,,null,null,null,,[],[],FALSE,2022-08-19T13:30:20.052Z
"""6292871eb2f80233e188520e""","""62cf60bfcf2a4a45651a1715""",,FALSE,,,,,,2022-07-14T00:18:07.7Z,FALSE,,,,,,,[],[],,2022-08-19T17:26:30.699Z
"""62ed3ebda238e32087d51f39""","""62f24c6d865d8c4a4d10a47c""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-09T12:00:45.88Z,FALSE,1,,null,null,null,,[],[],FALSE,2022-08-19T15:10:53.786Z
"""62fa94373740b30b34e6e7ce""","""62fa99ce37207e139b2a2110""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-15T19:09:02.98Z,FALSE,,,null,null,null,,[],[],FALSE,2022-08-19T20:34:42.488Z
"""630016251c73c56bf2a5beef""","""63001b87a7ebf55e1e9cfdd1""",,FALSE,,,,,,2022-08-19T23:23:51.605Z,FALSE,,,,,,,[],[],,2022-08-19T23:23:51.605Z
"""6300359ed5e42959b1d3e8b2""","""63003692602d0c710c787ba3""",,FALSE,,,,,,2022-08-20T01:19:14.547Z,FALSE,,,,,,,[],[],,2022-08-20T01:19:14.547Z
"""5fac07f7db0a6f467c61f626""","""61a4f84a5300c3063807814c""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-03-22T17:52:08.394Z,TRUE,575423,,null,90,null,PAY_BY_PERCENTAGE,[],[],TRUE,2022-08-22T17:41:03.506Z
"""627d9839c1434733651ba99b""","""62ffc4b25f4f225f1550b011""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-19T17:13:22.053Z,FALSE,9,,null,100,null,PAY_BY_PERCENTAGE,[],[],TRUE,2022-08-22T19:57:27.931Z
"""628e90846c0a4434faf793e0""","""6303cf13ad8c2d617df09112""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-22T18:46:43.377Z,FALSE,36,,null,null,null,,[],[],FALSE,2022-08-22T18:46:43.377Z
"""6290f735d6917f225a6b2bd9""","""6303cc528cf2e559cf342626""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-22T18:34:58.056Z,FALSE,3,,null,25,null,PAY_BY_PERCENTAGE,[],[],FALSE,2022-08-22T18:34:58.056Z
"""62e7d512bf163b64dfe529b5""","""62e8a42e76695b6d6e221411""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-02T04:12:30.056Z,FALSE,,,null,null,null,,[],[],FALSE,2022-08-22T18:21:09.637Z
"""62ebe8931238641731e8887a""","""62ec14ef5cfbce1c582e095b""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-04T18:50:23.748Z,FALSE,,,null,null,null,,[],[],FALSE,2022-08-22T20:41:39.856Z
"""62fba498a273261e08425c05""","""62fba7e84bb675262b3163f7""",,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2022-08-16T14:21:28.269Z,FALSE,,,null,null,null,PAY_BY_PERCENTAGE,[],[],FALSE,2022-08-22T17:04:25.573Z
"""62fe8a72c4abc73d6ff984ec""","""62fe96ab7fbb42467c7ffbb3""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-18T19:44:43.99Z,FALSE,2,,null,null,null,,[],[],TRUE,2022-08-22T16:27:57.968Z
"""630406e5838a407eb6ec62b8""","""63040992f4dbdf017394330c""",,FALSE,,,,,,2022-08-22T22:56:18.096Z,FALSE,,,,,,,[],[],,2022-08-22T22:56:18.096Z
"""6213d8e9052cd444fb3f15cf""","""6304fcd2f99323097bbaf67e""",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2022-08-23T16:14:10.552Z,FALSE,2,,null,null,null,PAY_BY_MILES,[],[],FALSE,2022-08-23T16:14:10.552Z
