CLUSTER_ID,LATITUDE,LONGITUDE,METACLUSTER_ID,MAIN_CITY_NAME,MAIN_CITY_STATE,MAIN_CITY_LAT,MAIN_CITY_LNG,FARTHEST_CITY_NAME,FARTHEST_CITY_STATE,FARTHEST_CITY_LAT,FARTHEST_CITY_LNG,RADIO,METACLUSTER_TAG,SONAR_TAG,CENTROID_TAG
17,38.3498195,-81.6326234,2,Charleston,WV,38.34981950,-81.63262340,Morrison City,TN,-82.57348650,36.59148900,132.68000,Power Zone,CRW,South West WV
18,39.4667034,-87.4139092,9,Terre Haute,IN,39.46670340,-87.41390920,Tremont,IL,-89.49259790,40.52753920,132.89000,Cowboys Zone,HUF,West IN
19,41.49932,-81.6943605,2,Cleveland,OH,41.49932000,-81.69436050,Cambridge Springs,PA,-80.05644430,41.80366750,87.59000,Power Zone,CLE,North East OH
20,39.9611755,-82.9987942,9,Columbus,OH,39.96117550,-82.99879420,Coldwater,OH,-84.62829100,40.47976880,93.62000,Cowboys Zone,CMH,Central OH
21,42.8864468,-78.8783689,5,Buffalo,NY,42.88644680,-78.87836890,Johnsonburg,PA,-78.67502600,41.49061720,97.51000,The Big Lakes Zone,BUF,West NY
22,41.6005448,-93.6091064,3,Des Moines,IA,41.60054480,-93.60910640,Wauzeka,WI,-90.88318260,43.08526160,173.81000,Woods Zone,DSM,Central IA
23,38.0405837,-84.5037164,9,Lexington,KY,38.04058370,-84.50371640,Dandridge,TN,-83.41488950,36.01536930,153.06000,Cowboys Zone,LEX,East KY
24,38.6270025,-90.1994042,9,Saint Louis,MO,38.62700250,-90.19940420,Monmouth,IL,-90.64735760,40.91142710,160.45000,Cowboys Zone,STL,East MO
25,39.0997265,-94.5785667,3,Kansas City,MO,39.09972650,-94.57856670,Susank,KS,-98.77397110,38.64084470,229.07000,Woods Zone,MCI,North West MO
26,35.2219971,-101.8312969,4,Amarillo,TX,35.22199710,-101.83129690,Arnold,KS,-100.04623730,38.64029210,257.25000,Sunny Oranges Zone,AMA,North TX
27,32.7766642,-96.7969879,0,Dallas,TX,32.77666420,-96.79698790,Trent,TX,-100.12648800,32.48956460,195.75000,French Zone,DAL,East TX
28,30.267153,-97.7430608,0,Austin,TX,30.26715300,-97.74306080,Tepotzotlan,ME,-99.20652020,19.71850960,303.62000,French Zone,AUS,South TX
29,25.7616798,-80.1917902,6,Miami,FL,25.76167980,-80.19179020,St Croix,IN,-64.70319770,17.74663970,186.03000,Rockies Zone,MIA,South East FL
30,30.4382559,-84.2807329,6,Tallahassee,FL,30.43825590,-84.28073290,Sea Island,GA,-81.33169030,31.20172780,183.71000,Rockies Zone,THL,North FL
31,28.0394654,-81.9498042,6,Lakeland,FL,28.03946540,-81.94980420,Mayport Nvl St,FL,-81.39693900,30.38882780,166.58000,Rockies Zone,LAL,North East FL
32,44.977753,-93.2650108,3,Minneapolis,MN,44.97775300,-93.26501080,Grand Marais,MN,-90.33427270,47.75044690,238.32000,Woods Zone,MSP,South MN
33,45.7832856,-108.5006904,1,Billings,MT,45.78328560,-108.50069040,Saskatoon,SK,-106.63137900,52.07877200,327.42000,Golden Zone,BIL,South MT
